"survived","total","intercept","pclass","female","age.group"
0,1,1,1,1,5
5,5,1,2,1,5
12,17,1,3,1,5
2,2,1,1,0,5
8,8,1,2,0,5
6,16,1,3,0,5
3,3,1,2,1,10
0,10,1,3,1,10
1,1,1,2,0,10
4,10,1,3,0,10
2,2,1,1,1,15
2,2,1,2,1,15
5,10,1,3,1,15
1,1,1,1,0,15
1,6,1,3,0,15
11,11,1,1,1,20
6,6,1,2,1,20
14,25,1,3,1,20
1,4,1,1,0,20
1,11,1,2,0,20
8,71,1,3,0,20
14,15,1,1,1,25
12,13,1,2,1,25
17,30,1,3,1,25
3,7,1,1,0,25
1,21,1,2,0,25
6,73,1,3,0,25
7,7,1,1,1,30
13,15,1,2,1,30
12,20,1,3,1,30
7,16,1,1,0,30
1,17,1,2,0,30
11,69,1,3,0,30
12,12,1,1,1,35
11,11,1,2,1,35
9,14,1,3,1,35
6,9,1,1,0,35
3,17,1,2,0,35
7,37,1,3,0,35
14,14,1,1,1,40
6,7,1,2,1,40
2,8,1,3,1,40
8,21,1,1,0,40
0,11,1,2,0,40
2,23,1,3,0,40
9,9,1,1,1,45
5,6,1,2,1,45
0,6,1,3,1,45
4,13,1,1,0,45
1,6,1,2,0,45
2,18,1,3,0,45
9,10,1,1,1,50
5,5,1,2,1,50
0,2,1,3,1,50
8,20,1,1,0,50
0,4,1,2,0,50
0,7,1,3,0,50
6,6,1,1,1,55
2,2,1,2,1,55
2,7,1,1,0,55
0,6,1,2,0,55
0,5,1,3,0,55
5,5,1,1,1,60
0,1,1,2,1,60
2,9,1,1,0,60
0,3,1,2,0,60
0,2,1,3,0,60
2,2,1,1,1,65
1,2,1,3,1,65
0,9,1,1,0,65
1,1,1,2,0,65
0,2,1,3,0,65
0,1,1,1,0,70
0,2,1,2,0,70
0,2,1,3,0,70
0,2,1,1,0,75
0,2,1,3,0,75
1,1,1,1,0,80
